Timestamp_Sec,DateTime_UTC,Network,NetworkID,Protocol,ArbID_Hex,ArbID_Dec,Is_Extended,Is_Tx,Is_Error,DLC,Data_Hex,B0,B1,B2,B3,B4,B5,B6,B7
607201146.895005,2026-03-29 18:59:06.895005,HSCAN3,44,CAN,0x020,32,0,0,0,3,01 87 F0,0x01,0x87,0xF0,,,,,
607201146.895481,2026-03-29 18:59:06.895481,HSCAN3,44,CAN,0x021,33,0,0,0,8,01 10 9D 05 20 00 00 40,0x01,0x10,0x9D,0x05,0x20,0x00,0x00,0x40
607201146.895721,2026-03-29 18:59:06.895721,HSCAN3,44,CAN,0x022,34,0,0,0,5,01 10 00 22 00,0x01,0x10,0x00,0x22,0x00,,,
607201146.895974,2026-03-29 18:59:06.895974,HSCAN3,44,CAN,0x023,35,0,0,0,8,01 00 00 00 00 00 00 00,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00
607201146.896168,2026-03-29 18:59:06.896168,HSCAN3,44,CAN,0x024,36,0,0,0,5,01 00 00 00 00,0x01,0x00,0x00,0x00,0x00,,,
607201146.896320,2026-03-29 18:59:06.896320,HSCAN3,44,CAN,0x040,64,0,0,0,3,00 79 E0,0x00,0x79,0xE0,,,,,
607201146.896802,2026-03-29 18:59:06.896802,HSCAN3,44,CAN,0x041,65,0,0,0,7,01 00 F4 07 B6 03 00,0x01,0x00,0xF4,0x07,0xB6,0x03,0x00,
607201146.896955,2026-03-29 18:59:06.896955,HSCAN3,44,CAN,0x030,48,0,0,0,3,01 79 E0,0x01,0x79,0xE0,,,,,
607201146.897527,2026-03-29 18:59:06.897527,HSCAN3,44,CAN,0x031,49,0,0,0,7,01 00 B6 FF F1 20 00,0x01,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201146.897761,2026-03-29 18:59:06.897761,HSCAN3,44,CAN,0x014,20,0,0,0,8,15 81 44 47 D0 73 09 74,0x15,0x81,0x44,0x47,0xD0,0x73,0x09,0x74
607201146.897913,2026-03-29 18:59:06.897913,HSCAN3,44,CAN,0x030,48,0,0,0,3,01 79 E0,0x01,0x79,0xE0,,,,,
607201146.898512,2026-03-29 18:59:06.898511,HSCAN3,44,CAN,0x031,49,0,0,0,7,01 00 B6 FF F1 20 00,0x01,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201146.898628,2026-03-29 18:59:06.898628,HSCAN3,44,CAN,0x011,17,0,0,0,1,10,0x10,,,,,,,
607201146.898746,2026-03-29 18:59:06.898746,HSCAN3,44,CAN,0x010,16,0,0,0,1,10,0x10,,,,,,,
607201147.000645,2026-03-29 18:59:07.000645,HSCAN3,44,CAN,0x020,32,0,0,0,3,41 87 F0,0x41,0x87,0xF0,,,,,
607201147.000998,2026-03-29 18:59:07.000998,HSCAN3,44,CAN,0x021,33,0,0,0,8,41 10 9D 05 20 00 00 40,0x41,0x10,0x9D,0x05,0x20,0x00,0x00,0x40
607201147.002154,2026-03-29 18:59:07.002154,HSCAN3,44,CAN,0x022,34,0,0,0,5,41 10 00 22 00,0x41,0x10,0x00,0x22,0x00,,,
607201147.002403,2026-03-29 18:59:07.002403,HSCAN3,44,CAN,0x023,35,0,0,0,8,41 00 00 00 00 00 00 00,0x41,0x00,0x00,0x00,0x00,0x00,0x00,0x00
607201147.002595,2026-03-29 18:59:07.002594,HSCAN3,44,CAN,0x024,36,0,0,0,5,41 00 00 00 00,0x41,0x00,0x00,0x00,0x00,,,
607201147.002747,2026-03-29 18:59:07.002747,HSCAN3,44,CAN,0x040,64,0,0,0,3,01 79 E0,0x01,0x79,0xE0,,,,,
607201147.002967,2026-03-29 18:59:07.002967,HSCAN3,44,CAN,0x041,65,0,0,0,7,41 00 F4 07 B6 03 00,0x41,0x00,0xF4,0x07,0xB6,0x03,0x00,
607201147.003117,2026-03-29 18:59:07.003118,HSCAN3,44,CAN,0x030,48,0,0,0,3,41 79 E0,0x41,0x79,0xE0,,,,,
607201147.003340,2026-03-29 18:59:07.003340,HSCAN3,44,CAN,0x031,49,0,0,0,7,41 00 B6 FF F1 20 00,0x41,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.003574,2026-03-29 18:59:07.003574,HSCAN3,44,CAN,0x014,20,0,0,0,8,15 81 44 47 D0 73 09 74,0x15,0x81,0x44,0x47,0xD0,0x73,0x09,0x74
607201147.003724,2026-03-29 18:59:07.003724,HSCAN3,44,CAN,0x030,48,0,0,0,3,41 79 E0,0x41,0x79,0xE0,,,,,
607201147.003946,2026-03-29 18:59:07.003946,HSCAN3,44,CAN,0x031,49,0,0,0,7,41 00 B6 FF F1 20 00,0x41,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.004061,2026-03-29 18:59:07.004061,HSCAN3,44,CAN,0x011,17,0,0,0,1,50,0x50,,,,,,,
607201147.004177,2026-03-29 18:59:07.004177,HSCAN3,44,CAN,0x010,16,0,0,0,1,50,0x50,,,,,,,
607201147.095648,2026-03-29 18:59:07.095648,HSCAN3,44,CAN,0x020,32,0,0,0,3,81 87 F0,0x81,0x87,0xF0,,,,,
607201147.095979,2026-03-29 18:59:07.095979,HSCAN3,44,CAN,0x021,33,0,0,0,8,81 10 9D 05 20 00 00 40,0x81,0x10,0x9D,0x05,0x20,0x00,0x00,0x40
607201147.096187,2026-03-29 18:59:07.096187,HSCAN3,44,CAN,0x022,34,0,0,0,5,81 10 00 22 00,0x81,0x10,0x00,0x22,0x00,,,
607201147.096435,2026-03-29 18:59:07.096435,HSCAN3,44,CAN,0x023,35,0,0,0,8,81 00 00 00 00 00 00 00,0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
607201147.096627,2026-03-29 18:59:07.096627,HSCAN3,44,CAN,0x024,36,0,0,0,5,81 00 00 00 00,0x81,0x00,0x00,0x00,0x00,,,
607201147.096780,2026-03-29 18:59:07.096780,HSCAN3,44,CAN,0x040,64,0,0,0,3,02 79 E0,0x02,0x79,0xE0,,,,,
607201147.097000,2026-03-29 18:59:07.097000,HSCAN3,44,CAN,0x041,65,0,0,0,7,81 00 F4 07 B6 03 00,0x81,0x00,0xF4,0x07,0xB6,0x03,0x00,
607201147.097152,2026-03-29 18:59:07.097152,HSCAN3,44,CAN,0x030,48,0,0,0,3,81 79 E0,0x81,0x79,0xE0,,,,,
607201147.097386,2026-03-29 18:59:07.097386,HSCAN3,44,CAN,0x031,49,0,0,0,7,81 00 B6 FF F1 20 00,0x81,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.097621,2026-03-29 18:59:07.097621,HSCAN3,44,CAN,0x014,20,0,0,0,8,15 81 44 47 D0 73 09 74,0x15,0x81,0x44,0x47,0xD0,0x73,0x09,0x74
607201147.097773,2026-03-29 18:59:07.097773,HSCAN3,44,CAN,0x030,48,0,0,0,3,81 79 E0,0x81,0x79,0xE0,,,,,
607201147.098035,2026-03-29 18:59:07.098035,HSCAN3,44,CAN,0x031,49,0,0,0,7,81 00 B6 FF F1 20 00,0x81,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.098155,2026-03-29 18:59:07.098155,HSCAN3,44,CAN,0x011,17,0,0,0,1,90,0x90,,,,,,,
607201147.098276,2026-03-29 18:59:07.098276,HSCAN3,44,CAN,0x010,16,0,0,0,1,90,0x90,,,,,,,
607201147.195659,2026-03-29 18:59:07.195659,HSCAN3,44,CAN,0x020,32,0,0,0,3,C1 87 F0,0xC1,0x87,0xF0,,,,,
607201147.196273,2026-03-29 18:59:07.196273,HSCAN3,44,CAN,0x021,33,0,0,0,8,C1 10 9D 05 20 00 00 40,0xC1,0x10,0x9D,0x05,0x20,0x00,0x00,0x40
607201147.196551,2026-03-29 18:59:07.196551,HSCAN3,44,CAN,0x022,34,0,0,0,5,C1 10 00 22 00,0xC1,0x10,0x00,0x22,0x00,,,
607201147.196800,2026-03-29 18:59:07.196800,HSCAN3,44,CAN,0x023,35,0,0,0,8,C1 00 00 00 00 00 00 00,0xC1,0x00,0x00,0x00,0x00,0x00,0x00,0x00
